458916.9  4705414      0.47
418491.4  4761300      0.62
438868.6  4761088      0.65
459245.8  4760936      0.70
479622.9  4760845      0.68
 500000   4760815      0.62
438621.3  4733326      0.70
459080.9  4733175      0.67
479540.5  4733084      0.47
 500000   4733053      0.32
479458.5  4705323      0.38
 500000   4705293      0.21
 500000   4677534      0.29
462149.4  4695402      0.61
360285.2  4901130      0.73
359694.5  4873362      0.64
380244.6  4900734      0.84
379738.3  4872967      0.75
379234.4  4845200      0.73
400203.9  4900400      0.72
399782.1  4872632      0.69
399362.1  4844866      0.68
419825.7  4872359      0.64
419489.8  4844592      0.73
419155.5  4816827      0.80
439617.4  4844380      0.60
396280.2  4853800      0.83
